Codi	Municipi	BIG	QRA
82299	Sant Mateu de Bages	20.034	5.055
171740	Sant Miquel de Campmajor	20.705	6.106
171753	Sant Miquel de Fluvià	18.294	3.996
171766	Sant Mori	23.721	7.663
171772	Sant Pau de Segúries	18.746	4.178
82310	Sant Pere de Ribes	24.419	6.957
82325	Sant Pere de Riudebitlles	21.240	5.220
82331	Sant Pere de Torelló	20.076	4.388
82346	Sant Pere de Vilamajor	23.910	5.987
171788	Sant Pere Pescador	19.675	5.645
81897	Sant Pere Sallavinera	24.059	7.514
82359	Sant Pol de Mar	27.478	7.699
82362	Sant Quintí de Mediona	19.262	4.351
82378	Sant Quirze de Besora	20.615	4.850
82384	Sant Quirze del Vallès	33.865	10.029
82397	Sant Quirze Safaja	30.701	10.782
251945	Sant Ramon	17.305	4.417
82401	Sant Sadurní d'Anoia	24.741	6.129
